method,round,labels,accuracy
passive_random,1,129,0.4280155642023346
passive_random,2,139,0.40077821011673154
passive_random,3,149,0.47470817120622566
passive_random,4,159,0.47470817120622566
passive_random,5,169,0.47470817120622566
passive_random,6,179,0.490272373540856
passive_random,7,189,0.48638132295719844
passive_random,8,199,0.5058365758754864
passive_random,9,209,0.49416342412451364
passive_random,10,219,0.5214007782101168
passive_random,11,229,0.5058365758754864
passive_random,12,239,0.5214007782101168
passive_random,13,249,0.5214007782101168
passive_random,14,259,0.5097276264591439
passive_random,15,269,0.5214007782101168
passive_random,16,279,0.5291828793774319
passive_random,17,289,0.5408560311284046
passive_random,18,299,0.5447470817120622
passive_random,19,309,0.5486381322957199
passive_random,20,319,0.5486381322957199
passive_random,21,329,0.5486381322957199
passive_random,22,339,0.5291828793774319
passive_random,23,349,0.5603112840466926
passive_random,24,359,0.5680933852140078
passive_random,25,369,0.5836575875486382
passive_random,26,379,0.603112840466926
passive_random,27,389,0.5719844357976653
passive_random,28,399,0.5603112840466926
passive_random,29,409,0.5953307392996109
passive_random,30,419,0.5953307392996109
passive_random,31,429,0.603112840466926
passive_random,32,439,0.5992217898832685
passive_random,33,449,0.5953307392996109
passive_random,34,459,0.603112840466926
passive_random,35,469,0.603112840466926
passive_random,36,479,0.6186770428015564
passive_random,37,489,0.622568093385214
passive_random,38,499,0.5953307392996109
passive_random,39,509,0.6186770428015564
passive_random,40,519,0.6108949416342413
passive_random,41,529,0.6264591439688716
passive_random,42,539,0.6264591439688716
passive_random,43,549,0.6381322957198443
passive_random,44,559,0.6108949416342413
passive_random,45,569,0.6459143968871596
passive_random,46,579,0.622568093385214
passive_random,47,589,0.642023346303502
passive_random,48,599,0.622568093385214
passive_random,49,609,0.6381322957198443
passive_random,50,619,0.6459143968871596
passive_random,51,629,0.6575875486381323
passive_random,52,639,0.6459143968871596
passive_random,53,649,0.6809338521400778
passive_random,54,659,0.6575875486381323
passive_random,55,669,0.6575875486381323
passive_random,56,679,0.6575875486381323
passive_random,57,689,0.6303501945525292
passive_random,58,699,0.6575875486381323
passive_random,59,709,0.6575875486381323
passive_random,60,719,0.6614785992217899
passive_random,61,729,0.6848249027237354
passive_random,62,739,0.6731517509727627
passive_random,63,749,0.6848249027237354
passive_random,64,759,0.688715953307393
passive_random,65,769,0.6731517509727627
passive_random,66,779,0.7003891050583657
passive_random,67,789,0.6848249027237354
passive_random,68,799,0.6964980544747081
passive_random,69,809,0.6770428015564203
passive_random,70,819,0.6770428015564203
passive_random,71,829,0.6926070038910506
passive_random,72,839,0.688715953307393
passive_random,73,849,0.6964980544747081
passive_random,74,859,0.6614785992217899
passive_random,75,869,0.6964980544747081
passive_random,76,879,0.7003891050583657
passive_random,77,889,0.6848249027237354
passive_random,78,899,0.7042801556420234
passive_random,79,909,0.6926070038910506
passive_random,80,919,0.6964980544747081
passive_random,81,929,0.6848249027237354
passive_random,82,939,0.7042801556420234
passive_random,83,949,0.6809338521400778
passive_random,84,959,0.6926070038910506
passive_random,85,969,0.7003891050583657
passive_random,86,979,0.6964980544747081
passive_random,87,989,0.6809338521400778
passive_random,88,999,0.669260700389105
passive_random,89,1009,0.6926070038910506
passive_random,90,1019,0.708171206225681
passive_random,91,1029,0.708171206225681
passive_random,92,1039,0.7042801556420234
passive_random,93,1049,0.7159533073929961
passive_random,94,1059,0.7042801556420234
passive_random,95,1069,0.7198443579766537
passive_random,96,1079,0.7120622568093385
