method,round,labels,pool_size,pct,avg_acc_top1,avg_acc_topk,acc_tuple_top1,acc_tuple_topk,top_k
passive_random,1,129,2055,6.2773722627737225,0.4383916990920882,0.5181582360570687,"[0.4494163424124514, 0.44163424124513617, 0.42412451361867703]","[0.5155642023346303, 0.5214007782101168, 0.5175097276264592]",3
passive_random,2,134,2055,6.520681265206813,0.44617380025940334,0.5239948119325551,"[0.44357976653696496, 0.4474708171206226, 0.4474708171206226]","[0.519455252918288, 0.5311284046692607, 0.5214007782101168]",3
passive_random,3,139,2055,6.763990267639903,0.4390402075226978,0.5181582360570688,"[0.4396887159533074, 0.44357976653696496, 0.433852140077821]","[0.5175097276264592, 0.519455252918288, 0.5175097276264592]",3
passive_random,4,144,2055,7.007299270072993,0.4481193255512322,0.5272373540856031,"[0.45330739299610895, 0.4494163424124514, 0.44163424124513617]","[0.5272373540856031, 0.5311284046692607, 0.5233463035019456]",3
passive_random,5,149,2055,7.250608272506082,0.44682230869001294,0.5350194552529183,"[0.4377431906614786, 0.45330739299610895, 0.4494163424124514]","[0.5350194552529183, 0.5408560311284046, 0.5291828793774319]",3
passive_random,6,154,2055,7.4939172749391725,0.4481193255512322,0.5337224383916991,"[0.4455252918287938, 0.4571984435797665, 0.44163424124513617]","[0.5389105058365758, 0.5311284046692607, 0.5311284046692607]",3
passive_random,7,159,2055,7.737226277372263,0.44163424124513617,0.5369649805447471,"[0.44357976653696496, 0.44357976653696496, 0.4377431906614786]","[0.5369649805447471, 0.5369649805447471, 0.5369649805447471]",3
passive_random,8,164,2055,7.980535279805353,0.45071335927367057,0.5440985732814526,"[0.4474708171206226, 0.46108949416342415, 0.44357976653696496]","[0.5447470817120622, 0.5408560311284046, 0.546692607003891]",3
passive_random,9,169,2055,8.223844282238442,0.46887159533073924,0.5616083009079118,"[0.4727626459143969, 0.4766536964980545, 0.4571984435797665]","[0.5622568093385214, 0.5583657587548638, 0.5642023346303502]",3
passive_random,10,174,2055,8.467153284671532,0.47081712062256803,0.569390402075227,"[0.4708171206225681, 0.4727626459143969, 0.4688715953307393]","[0.5680933852140078, 0.5680933852140078, 0.5719844357976653]",3
passive_random,11,179,2055,8.710462287104622,0.46692607003891046,0.569390402075227,"[0.4649805447470817, 0.4669260700389105, 0.4688715953307393]","[0.566147859922179, 0.5680933852140078, 0.5739299610894941]",3
passive_random,12,184,2055,8.953771289537713,0.48119325551232167,0.5752269779507133,"[0.48249027237354086, 0.48443579766536965, 0.4766536964980545]","[0.5778210116731517, 0.5719844357976653, 0.5758754863813229]",3
passive_random,13,189,2055,9.197080291970803,0.49156939040207526,0.5985732814526589,"[0.4980544747081712, 0.49416342412451364, 0.48249027237354086]","[0.6011673151750972, 0.5992217898832685, 0.5953307392996109]",3
passive_random,14,194,2055,9.440389294403893,0.506485084306096,0.6050583657587548,"[0.5038910505836576, 0.5116731517509727, 0.5038910505836576]","[0.603112840466926, 0.6050583657587548, 0.6070038910505836]",3
passive_random,15,199,2055,9.683698296836983,0.5025940337224384,0.6083009079118029,"[0.5077821011673151, 0.4980544747081712, 0.5019455252918288]","[0.6089494163424124, 0.6128404669260701, 0.603112840466926]",3
passive_random,16,204,2055,9.927007299270073,0.5012970168612192,0.6089494163424125,"[0.5019455252918288, 0.4980544747081712, 0.5038910505836576]","[0.6128404669260701, 0.6128404669260701, 0.6011673151750972]",3
passive_random,17,209,2055,10.170316301703163,0.5006485084306096,0.6160830090791181,"[0.4980544747081712, 0.5077821011673151, 0.4961089494163424]","[0.6206225680933852, 0.6147859922178989, 0.6128404669260701]",3
passive_random,18,214,2055,10.413625304136254,0.5077821011673151,0.6076523994811933,"[0.5077821011673151, 0.5097276264591439, 0.5058365758754864]","[0.6147859922178989, 0.5972762645914397, 0.6108949416342413]",3
passive_random,19,219,2055,10.656934306569344,0.5058365758754864,0.6134889753566797,"[0.5038910505836576, 0.5077821011673151, 0.5058365758754864]","[0.6128404669260701, 0.6089494163424124, 0.6186770428015564]",3
passive_random,20,224,2055,10.900243309002432,0.5103761348897535,0.6206225680933852,"[0.5155642023346303, 0.5116731517509727, 0.5038910505836576]","[0.622568093385214, 0.622568093385214, 0.6167315175097277]",3
passive_random,21,229,2055,11.143552311435522,0.5175097276264591,0.6277561608300908,"[0.5155642023346303, 0.5155642023346303, 0.5214007782101168]","[0.632295719844358, 0.632295719844358, 0.6186770428015564]",3
passive_random,22,234,2055,11.386861313868613,0.5317769130998703,0.6368352788586251,"[0.5311284046692607, 0.5369649805447471, 0.5272373540856031]","[0.6342412451361867, 0.6400778210116731, 0.6361867704280155]",3
passive_random,23,239,2055,11.630170316301703,0.5343709468223087,0.6407263294422827,"[0.5408560311284046, 0.5369649805447471, 0.5252918287937743]","[0.6478599221789884, 0.6381322957198443, 0.6361867704280155]",3
passive_random,24,244,2055,11.873479318734793,0.5363164721141375,0.6478599221789884,"[0.5330739299610895, 0.5408560311284046, 0.5350194552529183]","[0.6459143968871596, 0.6498054474708171, 0.6478599221789884]",3
passive_random,25,249,2055,12.116788321167883,0.5363164721141375,0.648508430609598,"[0.5389105058365758, 0.5408560311284046, 0.5291828793774319]","[0.6498054474708171, 0.6517509727626459, 0.6439688715953308]",3
passive_random,26,254,2055,12.360097323600973,0.5453955901426718,0.6601815823605707,"[0.5408560311284046, 0.5408560311284046, 0.5544747081712063]","[0.6575875486381323, 0.6673151750972762, 0.6556420233463035]",3
passive_random,27,259,2055,12.603406326034063,0.5447470817120622,0.6575875486381323,"[0.5447470817120622, 0.5486381322957199, 0.5408560311284046]","[0.6673151750972762, 0.6595330739299611, 0.6459143968871596]",3
passive_random,28,264,2055,12.846715328467154,0.540207522697795,0.6575875486381323,"[0.5330739299610895, 0.546692607003891, 0.5408560311284046]","[0.6614785992217899, 0.6575875486381323, 0.6536964980544747]",3
passive_random,29,269,2055,13.090024330900244,0.5453955901426718,0.6608300907911803,"[0.5428015564202334, 0.5505836575875487, 0.5428015564202334]","[0.6653696498054474, 0.6595330739299611, 0.6575875486381323]",3
passive_random,30,274,2055,13.333333333333334,0.5525291828793775,0.6582360570687419,"[0.556420233463035, 0.5525291828793775, 0.5486381322957199]","[0.6653696498054474, 0.6595330739299611, 0.6498054474708171]",3
passive_random,31,279,2055,13.576642335766424,0.556420233463035,0.6595330739299611,"[0.5544747081712063, 0.5544747081712063, 0.5603112840466926]","[0.6614785992217899, 0.6634241245136187, 0.6536964980544747]",3
passive_random,32,284,2055,13.819951338199514,0.5577172503242542,0.669260700389105,"[0.5583657587548638, 0.5622568093385214, 0.5525291828793775]","[0.6634241245136187, 0.6731517509727627, 0.6712062256809338]",3
passive_random,33,289,2055,14.063260340632603,0.5499351491569391,0.6699092088197146,"[0.5505836575875487, 0.5486381322957199, 0.5505836575875487]","[0.669260700389105, 0.6750972762645915, 0.6653696498054474]",3
passive_random,34,294,2055,14.306569343065693,0.5583657587548638,0.6770428015564202,"[0.5603112840466926, 0.5603112840466926, 0.5544747081712063]","[0.6712062256809338, 0.6848249027237354, 0.6750972762645915]",3
passive_random,35,299,2055,14.549878345498783,0.5512321660181583,0.672503242542153,"[0.5622568093385214, 0.5428015564202334, 0.5486381322957199]","[0.6731517509727627, 0.6673151750972762, 0.6770428015564203]",3
passive_random,36,304,2055,14.793187347931873,0.556420233463035,0.6770428015564202,"[0.5583657587548638, 0.556420233463035, 0.5544747081712063]","[0.6809338521400778, 0.6789883268482491, 0.6712062256809338]",3
passive_random,37,309,2055,15.036496350364963,0.5732814526588845,0.6906614785992217,"[0.5680933852140078, 0.5758754863813229, 0.5758754863813229]","[0.6867704280155642, 0.6945525291828794, 0.6906614785992218]",3
passive_random,38,314,2055,15.279805352798054,0.5778210116731518,0.6945525291828792,"[0.5778210116731517, 0.5758754863813229, 0.5797665369649806]","[0.6964980544747081, 0.6964980544747081, 0.6906614785992218]",3
passive_random,39,319,2055,15.523114355231144,0.5778210116731517,0.6990920881971464,"[0.5739299610894941, 0.585603112840467, 0.5739299610894941]","[0.6964980544747081, 0.7062256809338522, 0.6945525291828794]",3
passive_random,40,324,2055,15.766423357664234,0.5830090791180286,0.6958495460440984,"[0.5797665369649806, 0.5836575875486382, 0.585603112840467]","[0.6984435797665369, 0.6984435797665369, 0.6906614785992218]",3
passive_random,41,329,2055,16.009732360097324,0.5797665369649806,0.7023346303501946,"[0.5797665369649806, 0.5778210116731517, 0.5817120622568094]","[0.7062256809338522, 0.7062256809338522, 0.6945525291828794]",3
passive_random,42,334,2055,16.253041362530414,0.5907911802853437,0.702983138780804,"[0.5894941634241245, 0.585603112840467, 0.5972762645914397]","[0.7023346303501945, 0.7120622568093385, 0.6945525291828794]",3
passive_random,43,339,2055,16.496350364963504,0.5810635538261998,0.7075226977950714,"[0.5875486381322957, 0.5817120622568094, 0.5739299610894941]","[0.6984435797665369, 0.7159533073929961, 0.708171206225681]",3
passive_random,44,344,2055,16.739659367396595,0.5843060959792478,0.7094682230869002,"[0.5875486381322957, 0.5778210116731517, 0.5875486381322957]","[0.7101167315175098, 0.7178988326848249, 0.7003891050583657]",3
passive_random,45,349,2055,16.982968369829685,0.582360570687419,0.7016861219195848,"[0.5875486381322957, 0.5739299610894941, 0.585603112840467]","[0.7023346303501945, 0.7042801556420234, 0.6984435797665369]",3
passive_random,46,354,2055,17.226277372262775,0.5907911802853437,0.7055771725032426,"[0.6011673151750972, 0.5914396887159533, 0.5797665369649806]","[0.7042801556420234, 0.708171206225681, 0.7042801556420234]",3
passive_random,47,359,2055,17.469586374695865,0.5881971465629053,0.7010376134889754,"[0.5894941634241245, 0.5875486381322957, 0.5875486381322957]","[0.7042801556420234, 0.7042801556420234, 0.6945525291828794]",3
passive_random,48,364,2055,17.712895377128955,0.5972762645914397,0.7068741893644618,"[0.5992217898832685, 0.5933852140077821, 0.5992217898832685]","[0.6984435797665369, 0.7140077821011673, 0.708171206225681]",3
