method,round,labels,avg_acc,acc_tuple,top_k
passive_random,1,206,0.5512321660181582,"[0.5603112840466926, 0.5486381322957199, 0.5447470817120622]",2
passive_random,2,216,0.569390402075227,"[0.5758754863813229, 0.566147859922179, 0.566147859922179]",2
passive_random,3,226,0.5758754863813229,"[0.5719844357976653, 0.5778210116731517, 0.5778210116731517]",2
passive_random,4,236,0.5810635538261997,"[0.5914396887159533, 0.5778210116731517, 0.5739299610894941]",2
passive_random,5,246,0.5959792477302205,"[0.5992217898832685, 0.5972762645914397, 0.5914396887159533]",2
passive_random,6,256,0.5992217898832685,"[0.6050583657587548, 0.5992217898832685, 0.5933852140077821]",2
passive_random,7,266,0.5946822308690013,"[0.5953307392996109, 0.5972762645914397, 0.5914396887159533]",2
passive_random,8,276,0.5985732814526589,"[0.603112840466926, 0.5972762645914397, 0.5953307392996109]",2
passive_random,9,286,0.6070038910505836,"[0.6089494163424124, 0.6070038910505836, 0.6050583657587548]",2
passive_random,10,296,0.6018158236057068,"[0.603112840466926, 0.6011673151750972, 0.6011673151750972]",2
passive_random,11,306,0.6108949416342413,"[0.6206225680933852, 0.6070038910505836, 0.6050583657587548]",2
passive_random,12,316,0.6232166018158236,"[0.6245136186770428, 0.6245136186770428, 0.6206225680933852]",2
passive_random,13,326,0.6173800259403373,"[0.6264591439688716, 0.6206225680933852, 0.6050583657587548]",2
passive_random,14,336,0.6219195849546044,"[0.6167315175097277, 0.6245136186770428, 0.6245136186770428]",2
passive_random,15,346,0.62905317769131,"[0.6303501945525292, 0.6284046692607004, 0.6284046692607004]",2
passive_random,16,356,0.6335927367055771,"[0.6342412451361867, 0.6361867704280155, 0.6303501945525292]",2
passive_random,17,366,0.6297016861219196,"[0.6303501945525292, 0.6264591439688716, 0.632295719844358]",2
passive_random,18,376,0.6407263294422827,"[0.6381322957198443, 0.6400778210116731, 0.6439688715953308]",2
passive_random,19,386,0.6400778210116731,"[0.6361867704280155, 0.6381322957198443, 0.6459143968871596]",2
passive_random,20,396,0.6446173800259404,"[0.6498054474708171, 0.6517509727626459, 0.632295719844358]",2
passive_random,21,406,0.6400778210116731,"[0.6361867704280155, 0.6459143968871596, 0.6381322957198443]",2
passive_random,22,416,0.6523994811932555,"[0.6556420233463035, 0.6498054474708171, 0.6517509727626459]",2
passive_random,23,426,0.64526588845655,"[0.6459143968871596, 0.6459143968871596, 0.6439688715953308]",2
passive_random,24,436,0.6608300907911803,"[0.6614785992217899, 0.6634241245136187, 0.6575875486381323]",2
passive_random,25,446,0.6705577172503242,"[0.6750972762645915, 0.6712062256809338, 0.6653696498054474]",2
passive_random,26,456,0.666018158236057,"[0.6673151750972762, 0.6634241245136187, 0.6673151750972762]",2
passive_random,27,466,0.6731517509727626,"[0.669260700389105, 0.6750972762645915, 0.6750972762645915]",2
passive_random,28,476,0.6776913099870298,"[0.6789883268482491, 0.6789883268482491, 0.6750972762645915]",2
passive_random,29,486,0.6815823605706873,"[0.6828793774319066, 0.6731517509727627, 0.688715953307393]",2
passive_random,30,496,0.6796368352788585,"[0.6809338521400778, 0.6750972762645915, 0.6828793774319066]",2
passive_random,31,506,0.7029831387808042,"[0.708171206225681, 0.6945525291828794, 0.7062256809338522]",2
passive_random,32,516,0.698443579766537,"[0.6945525291828794, 0.688715953307393, 0.7120622568093385]",2
passive_random,33,526,0.7055771725032426,"[0.7003891050583657, 0.7101167315175098, 0.7062256809338522]",2
passive_random,34,536,0.704928664072633,"[0.7062256809338522, 0.708171206225681, 0.7003891050583657]",2
passive_random,35,546,0.7101167315175098,"[0.708171206225681, 0.7198443579766537, 0.7023346303501945]",2
passive_random,36,556,0.7166018158236057,"[0.7101167315175098, 0.7237354085603113, 0.7159533073929961]",2
passive_random,37,566,0.7133592736705577,"[0.7120622568093385, 0.7159533073929961, 0.7120622568093385]",2
passive_random,38,576,0.7178988326848249,"[0.7217898832684825, 0.7101167315175098, 0.7217898832684825]",2
passive_random,39,586,0.72568093385214,"[0.7295719844357976, 0.7237354085603113, 0.7237354085603113]",2
passive_random,40,596,0.7250324254215305,"[0.7315175097276264, 0.7217898832684825, 0.7217898832684825]",2
passive_random,41,606,0.7321660181582361,"[0.7373540856031129, 0.7276264591439688, 0.7315175097276264]",2
passive_random,42,616,0.7328145265888457,"[0.7334630350194552, 0.7373540856031129, 0.7276264591439688]",2
passive_random,43,626,0.7354085603112841,"[0.7392996108949417, 0.7334630350194552, 0.7334630350194552]",2
passive_random,44,636,0.7425421530479897,"[0.7412451361867705, 0.7412451361867705, 0.745136186770428]",2
passive_random,45,646,0.7412451361867705,"[0.7431906614785992, 0.7354085603112841, 0.745136186770428]",2
passive_random,46,656,0.7529182879377432,"[0.754863813229572, 0.745136186770428, 0.7587548638132295]",2
passive_random,47,666,0.7490272373540856,"[0.754863813229572, 0.7470817120622568, 0.745136186770428]",2
passive_random,48,676,0.7574578469520103,"[0.7509727626459144, 0.7626459143968871, 0.7587548638132295]",2
passive_random,49,686,0.7561608300907912,"[0.7568093385214008, 0.7568093385214008, 0.754863813229572]",2
passive_random,50,696,0.7568093385214008,"[0.754863813229572, 0.7645914396887159, 0.7509727626459144]",2
passive_random,51,706,0.7619974059662775,"[0.754863813229572, 0.7587548638132295, 0.7723735408560312]",2
passive_random,52,716,0.7594033722438391,"[0.7568093385214008, 0.7645914396887159, 0.7568093385214008]",2
passive_random,53,726,0.7652399481193255,"[0.7665369649805448, 0.7587548638132295, 0.7704280155642024]",2
passive_random,54,736,0.7626459143968871,"[0.7645914396887159, 0.7607003891050583, 0.7626459143968871]",2
passive_random,55,746,0.7645914396887159,"[0.77431906614786, 0.7568093385214008, 0.7626459143968871]",2
passive_random,56,756,0.7671854734111543,"[0.7684824902723736, 0.7684824902723736, 0.7645914396887159]",2
passive_random,57,766,0.7671854734111543,"[0.7723735408560312, 0.7607003891050583, 0.7684824902723736]",2
passive_random,58,776,0.7658884565499351,"[0.7704280155642024, 0.7665369649805448, 0.7607003891050583]",2
passive_random,59,786,0.7697795071335927,"[0.7723735408560312, 0.7626459143968871, 0.77431906614786]",2
passive_random,60,796,0.7756160830090791,"[0.7762645914396887, 0.7821011673151751, 0.7684824902723736]",2
passive_random,61,806,0.7652399481193255,"[0.7568093385214008, 0.7704280155642024, 0.7684824902723736]",2
passive_random,62,816,0.7717250324254216,"[0.7684824902723736, 0.7704280155642024, 0.7762645914396887]",2
passive_random,63,826,0.77431906614786,"[0.7762645914396887, 0.7684824902723736, 0.7782101167315175]",2
passive_random,64,836,0.772373540856031,"[0.7801556420233463, 0.77431906614786, 0.7626459143968871]",2
passive_random,65,846,0.7723735408560312,"[0.77431906614786, 0.7665369649805448, 0.7762645914396887]",2
passive_random,66,856,0.7808041504539559,"[0.7879377431906615, 0.7762645914396887, 0.7782101167315175]",2
passive_random,67,866,0.77431906614786,"[0.7723735408560312, 0.7762645914396887, 0.77431906614786]",2
passive_random,68,876,0.7782101167315175,"[0.7782101167315175, 0.7801556420233463, 0.7762645914396887]",2
passive_random,69,886,0.7665369649805447,"[0.7645914396887159, 0.7665369649805448, 0.7684824902723736]",2
passive_random,70,896,0.7684824902723735,"[0.7801556420233463, 0.745136186770428, 0.7801556420233463]",2
passive_random,71,906,0.7730220492866408,"[0.7782101167315175, 0.7684824902723736, 0.7723735408560312]",2
passive_random,72,916,0.7749675745784695,"[0.77431906614786, 0.7782101167315175, 0.7723735408560312]",2
passive_random,73,926,0.7821011673151751,"[0.7821011673151751, 0.77431906614786, 0.7898832684824902]",2
